Address,Price,Size,Room Count
"Schönwalder Str. 87, Spandau (Ortsteil), Berlin","1.499,73 €","85,65 m²","<span class=""onlyLarge"">3</span>"
"Flottwellstraße XX, Kreuzberg, Berlin",1.665 €,64 m²,"<span class=""onlyLarge"">2</span>"
"Staaken, Berlin",1.050 €,71 m²,"<span class=""onlyLarge"">2,5</span>"
"Pankow (Ortsteil), Berlin",730 €,58 m²,"<span class=""onlyLarge"">3</span>"
"Charlottenburg-Nord, Berlin",391 €,62 m²,"<span class=""onlyLarge"">2</span>"
"Schöneberg, Berlin",324 €,44 m²,"<span class=""onlyLarge"">1</span>"
"Wedding, Berlin",590 €,44 m²,"<span class=""onlyLarge"">1</span>"
"Friedrichshain, Berlin",1.302 €,86 m²,"<span class=""onlyLarge"">3</span>"
"Prenzlauer Berg, Berlin",690 €,70 m²,"<span class=""onlyLarge"">2</span>"
"Kreuzberg, Berlin",580 €,52 m²,"<span class=""onlyLarge"">2</span>"
"Mitte (Ortsteil), Berlin",1.800 €,100 m²,"<span class=""onlyLarge"">2,5</span>"
"Neukölln (Ortsteil), Berlin",520 €,63 m²,"<span class=""onlyLarge"">2</span>"
"Neue Schönholzer Str. 26, Pankow (Ortsteil), Berlin",900 €,59 m²,"<span class=""onlyLarge"">2</span>"
"Kantstraße 88, Charlottenburg, Berlin",400 €,50 m²,"<span class=""onlyLarge"">2</span>"
"Dirschauer Straße 10, Friedrichshain, Berlin",1.500 €,75 m²,"<span class=""onlyLarge"">3</span>"
"Heidenfeldstraße 5, Friedrichshain, Berlin",613 €,79 m²,"<span class=""onlyLarge"">2</span>"
"Schmargendorf, Berlin",8.500 €,197 m²,"<span class=""onlyLarge"">4</span>"
"Böckhstraße 15, Kreuzberg, Berlin",670 €,65 m²,"<span class=""onlyLarge"">2</span>"
"Möllendorffstraße 86, Lichtenberg (Ortsteil), Berlin",1.260 €,95 m²,"<span class=""onlyLarge"">4</span>"
"Krumme Straße 29, Charlottenburg, Berlin",800 €,90 m²,"<span class=""onlyLarge"">3</span>"
"Blücherstraße 32, Kreuzberg, Berlin",1.300 €,84 m²,"<span class=""onlyLarge"">2</span>"
"Giselastraße 33, Rummelsburg, Berlin",696 €,67 m²,"<span class=""onlyLarge"">2</span>"
"Tempelhofer Ufer 12, Kreuzberg, Berlin",1.650 €,74 m²,"<span class=""onlyLarge"">2</span>"
"Krausenstr. 37, Mitte (Ortsteil), Berlin",1.500 €,61 m²,"<span class=""onlyLarge"">2</span>"
"Hauptstraße 151, Schöneberg, Berlin",2.450 €,92 m²,"<span class=""onlyLarge"">4</span>"
"Mitte (Ortsteil), Berlin",1.975 €,79 m²,"<span class=""onlyLarge"">2</span>"
"Oranienburger Straße 60, Mitte (Ortsteil), Berlin",4.000 €,"113,25 m²","<span class=""onlyLarge"">3</span>"
"Malchower Weg 8, Alt-Hohenschönhausen, Berlin",572 €,62 m²,"<span class=""onlyLarge"">2</span>"
"Krefelder Straße 22, Moabit, Berlin",1.300 €,140 m²,"<span class=""onlyLarge"">4</span>"
"Treptower Straße B 61, Neukölln (Ortsteil), Berlin",461 €,66 m²,"<span class=""onlyLarge"">3</span>"
"Nordufer B 6, Wedding, Berlin",520 €,50 m²,"<span class=""onlyLarge"">2</span>"
"Scharnweberstraße 3, Reinickendorf (Ortsteil), Berlin",336 €,43 m²,"<span class=""onlyLarge"">1</span>"
"Malmöer Straße 19, Prenzlauer Berg, Berlin",480 €,39 m²,"<span class=""onlyLarge"">1,5</span>"
"Petersenweg 7, Spandau (Ortsteil), Berlin",405 €,58 m²,"<span class=""onlyLarge"">2</span>"
"Kapellensteig 2, Siemensstadt, Berlin",1.000 €,91 m²,"<span class=""onlyLarge"">4,5</span>"
"Pappelallee 47, Prenzlauer Berg, Berlin",990 €,50 m²,"<span class=""onlyLarge"">2</span>"
"Grünauer Straße  29, Köpenick, Berlin",1.599 €,"65,57 m²","<span class=""onlyLarge"">2</span>"
"Düppelstraße 28A, Steglitz, Berlin",1.150 €,51 m²,"<span class=""onlyLarge"">2</span>"
"Gervinusstr. 45, Charlottenburg, Berlin",1.205 €,"39,4 m²","<span class=""onlyLarge"">1</span>"
